repo_id,Primary Language,Repo_description,size,stars,commits_count,contributors_count_without_anonymous,contributors_count_with_anonymous,created_at,pushed_at,repo/username,repo_link
1,Ruby,**Grit is no longer maintained. Check out libgit2/rugged.** Grit gives you object oriented read/write access to Git repositories via Ruby.,7954,1877,516,43,48,29 October 2007,03 August 2017,grit,
144,Ruby,Chronic is a pure Ruby natural language date parser.,681,2809,630,51,67,29 January 2008,12 January 2018,chronic,
363,Ruby,Audited (formerly acts_as_audited) is an ORM extension that logs all changes to your Rails models.,761,2077,668,84,100,09 February 2008,14 March 2018,audited,
507,Ruby,A Ruby interface to the Twitter API.,19823,4009,2595,160,180,14 February 2008,08 February 2018,twitter,
1462,Ruby,Annotate Rails classes with schema and routes info,1206,2877,829,153,183,27 February 2008,23 February 2018,annotate_models,
1734,Ruby,"AASM - State machines for Ruby classes (plain Ruby, ActiveRecord, Mongoid)",1710,3197,1258,138,175,28 February 2008,14 February 2018,aasm/aasm,
2727,Ruby,mini replacement for RMagick,3398,2186,668,80,89,06 March 2008,05 March 2018,minimagick,
4828,Ruby,A tagging plugin for Rails applications that allows for custom tagging along dynamic contexts.,1089,4204,1002,146,180,21 March 2008,08 February 2018,acts-as-taggable-on,
5954,Ruby,Sequel: The Database Toolkit for Ruby,39963,3471,7105,249,309,31 March 2008,09 February 2018,jeremyevans/sequel,
6040,C,"Beanstalk is a simple, fast work queue.",1143,4359,710,42,53,31 March 2008,23 December 2017,beanstalkd,
7050,Ruby,"Fast, Nimble PDF Writer for Ruby",42405,3528,2958,125,168,04 April 2008,11 January 2018,prawn,
7497,Ruby,A Rails form builder plugin with semantically rich and accessible markup.,3751,5031,2461,176,218,07 April 2008,13 February 2018,formtastic,
8393,Ruby,Easy file attachment management for ActiveRecord,3396,8870,1908,355,418,10 April 2008,13 February 2018,paperclip,
15257,Ruby,Thor is a toolkit for building powerful command-line interfaces.,2326,3960,1373,134,167,07 May 2008,06 February 2018,erikhuda/thor,
31341,Ruby,Game written in Ruby for learning Ruby and artificial intelligence.,880,3460,221,6,8,04 July 2008,16 September 2016,ruby-warrior,
34045,Objective-C,"Easy to use CFNetwork wrapper for HTTP requests, Objective-C,  Mac OS X and iPhone",7160,5797,822,49,65,14 July 2008,17 January 2018,asi-http-request,
38867,Ruby,"Repository for collecting Locale data for Ruby on Rails I18n as well as other interesting, Rails related I18n stuff",2311,3175,1665,385,469,31 July 2008,10 March 2018,rails-i18n,
40407,Ruby,View components for Ruby and Rails.,1665,2858,1163,57,66,06 August 2008,27 February 2018,cells,
48296,JavaScript,JavaScript Vector Library,5564,9531,462,33,43,02 September 2008,31 December 2017,DmitryBaranovskiy/raphael,
53374,Ruby,Search Engine Optimization (SEO) for Ruby on Rails applications.,430,1960,291,40,46,17 September 2008,01 March 2018,meta-tags,
56125,Ruby,Rails authentication with email & password.,6408,2834,1233,111,139,24 September 2008,09 March 2018,clearance,
57419,Python,web.py is a web framework for python that is as simple as it is powerful. ,1073,4725,805,44,55,29 September 2008,05 February 2018,webpy,
63557,JavaScript,A jQuery plugin that adds cross-browser mouse wheel support.,245,3578,151,11,12,16 October 2008,21 January 2017,jquery-mousewheel,
72991,Ruby,"A gem providing ""time travel"", ""time freezing"", and ""time acceleration"" capabilities, making it simple to test time-dependent code. It provides a unified method to mock Time.now, Date.today, and DateTime.now in a single call.",295,2571,342,47,57,07 November 2008,12 March 2018,timecop,
79352,Ruby,A Really Ruby Mail Library,5776,2861,1786,192,233,22 November 2008,07 March 2018,mail,
84009,JavaScript,Simple JavaScript testing framework for browsers and node.js,8256,13274,1814,166,270,02 December 2008,16 February 2018,jasmine,
85670,JavaScript,A library for building richly interactive web applications.,264521,3721,25381,138,207,05 December 2008,21 August 2017,yui3,
85953,C#,Git Extensions is a standalone UI tool for managing git repositories. It also integrates with Windows Explorer and Microsoft Visual Studio (2010/2012/2013/2015/2017).,71400,2642,9466,237,335,06 December 2008,14 March 2018,gitextensions,
90981,Python,Python Twitter API,606,2109,674,60,81,15 December 2008,28 January 2018,twitter,
93580,PHP,Comprehensive mailing tools for PHP,8892,4290,1462,129,157,19 December 2008,11 March 2018,swiftmailer,
96071,Ruby,a modular Ruby webserver interface,3265,3294,2305,314,367,24 December 2008,13 February 2018,rack,
96395,Ruby,"A library for generating fake data such as names, addresses, and phone numbers.",2869,6174,1185,410,457,24 December 2008,09 February 2018,stympy/faker,
106310,Java,A programmer-oriented testing framework for Java.,22427,6701,2200,138,190,13 January 2009,13 February 2018,junit-team/junit,
106995,Ruby,Classy web-development dressed in a DSL (official / canonical repo),6197,9821,3887,353,415,14 January 2009,12 February 2018,sinatra,
114102,C,"An open source, embedded, high performance g-code-parser and CNC milling controller written in optimized C that will run on a straight Arduino",2273,2486,637,26,38,24 January 2009,03 February 2018,grbl/grbl,
119609,Python,The leading native Python SSHv2 protocol library.,5142,4060,2958,106,139,02 February 2009,09 February 2018,paramiko,
128818,PHP,The most popular PHP library for use with the Twitter OAuth REST API.,1233,3555,380,31,42,14 February 2009,12 February 2018,twitteroauth,
129791,Ruby,Cron jobs in Ruby,486,7461,503,84,101,16 February 2009,10 February 2018,javan/whenever,
